XsensPlugin_processed_segments_Left Foot_pose_qw;XsensPlugin_processed_segments_Left Foot_pose_qx;XsensPlugin_processed_segments_Left Foot_pose_qy;XsensPlugin_processed_segments_Left Foot_pose_qz;XsensPlugin_processed_segments_Left Foot_pose_tx;XsensPlugin_processed_segments_Left Foot_pose_ty;XsensPlugin_processed_segments_Left Foot_pose_tz;t
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.365
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.37
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.375
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.38
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.385
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.39
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.395
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.4
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.405
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.41
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.415
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.42
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.425
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.43
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.435
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.44
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.445
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.45
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.455
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.46
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.465
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.47
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.475
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.48
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.485
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.49
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.495
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.5
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.505
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.51
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.515
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.52
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.525
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.53
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.535
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.54
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.545
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.55
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.555
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.56
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.565
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.57
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.575
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.58
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.585
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.59
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.595
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.6
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.605
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.61
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.615
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.62
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.625
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.63
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.635
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.64
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.645
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.65
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.655
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.66
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.665
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.67
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.675
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.68
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.685
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.69
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.695
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.7
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.705
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.71
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.715
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.72
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.725
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.73
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.735
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.74
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.745
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.75
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.755
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.76
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.765
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.77
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.775
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.78
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.785
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.79
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.795
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.8
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.805
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.81
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.815
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.82
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.825
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.83
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.835
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.84
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.845
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.85
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.855
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.86
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.865
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.87
0.901698;0.0317117;-0.0105642;0.431072;3.69874;-5.81563;0.106894;1.875
