XsensPlugin_processed_segments_Right Foot_pose_qw;XsensPlugin_processed_segments_Right Foot_pose_qx;XsensPlugin_processed_segments_Right Foot_pose_qy;XsensPlugin_processed_segments_Right Foot_pose_qz;XsensPlugin_processed_segments_Right Foot_pose_tx;XsensPlugin_processed_segments_Right Foot_pose_ty;XsensPlugin_processed_segments_Right Foot_pose_tz;t
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.365
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.37
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.375
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.38
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.385
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.39
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.395
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.4
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.405
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.41
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.415
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.42
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.425
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.43
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.435
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.44
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.445
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.45
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.455
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.46
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.465
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.47
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.475
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.48
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.485
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.49
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.495
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.5
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.505
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.51
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.515
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.52
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.525
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.53
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.535
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.54
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.545
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.55
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.555
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.56
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.565
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.57
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.575
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.58
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.585
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.59
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.595
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.6
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.605
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.61
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.615
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.62
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.625
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.63
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.635
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.64
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.645
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.65
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.655
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.66
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.665
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.67
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.675
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.68
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.685
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.69
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.695
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.7
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.705
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.71
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.715
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.72
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.725
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.73
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.735
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.74
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.745
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.75
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.755
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.76
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.765
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.77
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.775
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.78
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.785
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.79
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.795
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.8
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.805
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.81
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.815
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.82
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.825
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.83
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.835
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.84
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.845
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.85
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.855
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.86
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.865
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.87
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.875
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.88
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.885
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.89
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.895
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.9
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.905
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.91
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.915
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.92
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.925
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.93
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.935
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.94
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.945
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.95
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.955
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.96
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.965
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.97
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.975
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.98
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.985
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.99
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;1.995
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;2
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;2.005
0.919965;-0.00534347;0.00554535;0.391926;3.59194;-5.92264;0.107083;2.01
