XsensPlugin_processed_segments_Left Foot_pose_qw;XsensPlugin_processed_segments_Left Foot_pose_qx;XsensPlugin_processed_segments_Left Foot_pose_qy;XsensPlugin_processed_segments_Left Foot_pose_qz;XsensPlugin_processed_segments_Left Foot_pose_tx;XsensPlugin_processed_segments_Left Foot_pose_ty;XsensPlugin_processed_segments_Left Foot_pose_tz;t
0.69089;0.120184;0.0454326;0.711451;-0.712617;-0.0222658;0.127671;1.9
0.69089;0.120184;0.0454326;0.711451;-0.712617;-0.0222658;0.127671;1.905
0.69089;0.120184;0.0454326;0.711451;-0.712617;-0.0222658;0.127671;1.91
0.69089;0.120184;0.0454326;0.711451;-0.712617;-0.0222658;0.127671;1.915
0.689534;0.133212;0.0543624;0.709819;-0.716392;-0.0396904;0.128722;1.92
0.689534;0.133212;0.0543624;0.709819;-0.716392;-0.0396904;0.128722;1.925
0.687845;0.144431;0.0623245;0.708608;-0.719967;-0.0553718;0.129526;1.93
0.687845;0.144431;0.0623245;0.708608;-0.719967;-0.0553718;0.129526;1.935
0.687845;0.144431;0.0623245;0.708608;-0.719967;-0.0553718;0.129526;1.94
0.687845;0.144431;0.0623245;0.708608;-0.719967;-0.0553718;0.129526;1.945
0.687845;0.144431;0.0623245;0.708608;-0.719967;-0.0553718;0.129526;1.95
0.685418;0.153229;0.0692899;0.708464;-0.723181;-0.0688131;0.130114;1.955
0.685418;0.153229;0.0692899;0.708464;-0.723181;-0.0688131;0.130114;1.96
0.685418;0.153229;0.0692899;0.708464;-0.723181;-0.0688131;0.130114;1.965
0.68277;0.160238;0.075295;0.708858;-0.726195;-0.0805111;0.130456;1.97
0.68277;0.160238;0.075295;0.708858;-0.726195;-0.0805111;0.130456;1.975
0.68277;0.160238;0.075295;0.708858;-0.726195;-0.0805111;0.130456;1.98
0.681192;0.165551;0.0794881;0.708698;-0.729292;-0.0902136;0.130209;1.985
0.681192;0.165551;0.0794881;0.708698;-0.729292;-0.0902136;0.130209;1.99
0.681192;0.165551;0.0794881;0.708698;-0.729292;-0.0902136;0.130209;1.995
0.681352;0.169447;0.08132;0.707413;-0.732756;-0.0977396;0.129271;2
0.681352;0.169447;0.08132;0.707413;-0.732756;-0.0977396;0.129271;2.005
0.681352;0.169447;0.08132;0.707413;-0.732756;-0.0977396;0.129271;2.01
0.681352;0.169447;0.08132;0.707413;-0.732756;-0.0977396;0.129271;2.015
0.682639;0.17166;0.081346;0.705634;-0.736302;-0.10327;0.127746;2.02
0.682639;0.17166;0.081346;0.705634;-0.736302;-0.10327;0.127746;2.025
0.682639;0.17166;0.081346;0.705634;-0.736302;-0.10327;0.127746;2.03
0.682639;0.17166;0.081346;0.705634;-0.736302;-0.10327;0.127746;2.035
0.684413;0.171472;0.0803724;0.704071;-0.739355;-0.107095;0.1256;2.04
0.684413;0.171472;0.0803724;0.704071;-0.739355;-0.107095;0.1256;2.045
0.686756;0.168782;0.0794284;0.702545;-0.741789;-0.108317;0.122471;2.05
0.686756;0.168782;0.0794284;0.702545;-0.741789;-0.108317;0.122471;2.055
0.686756;0.168782;0.0794284;0.702545;-0.741789;-0.108317;0.122471;2.06
0.686756;0.168782;0.0794284;0.702545;-0.741789;-0.108317;0.122471;2.065
0.689567;0.163685;0.0774824;0.701214;-0.74373;-0.107833;0.11872;2.07
0.689567;0.163685;0.0774824;0.701214;-0.74373;-0.107833;0.11872;2.075
0.689567;0.163685;0.0774824;0.701214;-0.74373;-0.107833;0.11872;2.08
0.689567;0.163685;0.0774824;0.701214;-0.74373;-0.107833;0.11872;2.085
0.691915;0.155744;0.0722478;0.701269;-0.744985;-0.108631;0.115402;2.09
0.691915;0.155744;0.0722478;0.701269;-0.744985;-0.108631;0.115402;2.095
0.691915;0.155744;0.0722478;0.701269;-0.744985;-0.108631;0.115402;2.1
0.69313;0.143709;0.0612065;0.703685;-0.745138;-0.112288;0.112867;2.105
0.69313;0.143709;0.0612065;0.703685;-0.745138;-0.112288;0.112867;2.11
0.69313;0.143709;0.0612065;0.703685;-0.745138;-0.112288;0.112867;2.115
0.693603;0.128774;0.0468526;0.707203;-0.744604;-0.117227;0.110763;2.12
0.693603;0.128774;0.0468526;0.707203;-0.744604;-0.117227;0.110763;2.125
0.693603;0.128774;0.0468526;0.707203;-0.744604;-0.117227;0.110763;2.13
0.69418;0.114207;0.0344351;0.709849;-0.744435;-0.121702;0.109089;2.135
0.69418;0.114207;0.0344351;0.709849;-0.744435;-0.121702;0.109089;2.14
0.69418;0.114207;0.0344351;0.709849;-0.744435;-0.121702;0.109089;2.145
0.695573;0.100877;0.0258415;0.710868;-0.745077;-0.12512;0.107917;2.15
0.695573;0.100877;0.0258415;0.710868;-0.745077;-0.12512;0.107917;2.155
0.695573;0.100877;0.0258415;0.710868;-0.745077;-0.12512;0.107917;2.16
0.695573;0.100877;0.0258415;0.710868;-0.745077;-0.12512;0.107917;2.165
0.697227;0.0879513;0.0191994;0.711175;-0.746084;-0.128074;0.107175;2.17
0.697227;0.0879513;0.0191994;0.711175;-0.746084;-0.128074;0.107175;2.175
0.697227;0.0879513;0.0191994;0.711175;-0.746084;-0.128074;0.107175;2.18
0.697227;0.0879513;0.0191994;0.711175;-0.746084;-0.128074;0.107175;2.185
0.698342;0.0762004;0.0141323;0.711556;-0.747166;-0.130598;0.106647;2.19
0.698342;0.0762004;0.0141323;0.711556;-0.747166;-0.130598;0.106647;2.195
0.698342;0.0762004;0.0141323;0.711556;-0.747166;-0.130598;0.106647;2.2
0.698537;0.0661258;0.010989;0.712428;-0.748272;-0.132593;0.106355;2.205
0.698537;0.0661258;0.010989;0.712428;-0.748272;-0.132593;0.106355;2.21
