XsensPlugin_processed_segments_Right Foot_pose_qw;XsensPlugin_processed_segments_Right Foot_pose_qx;XsensPlugin_processed_segments_Right Foot_pose_qy;XsensPlugin_processed_segments_Right Foot_pose_qz;XsensPlugin_processed_segments_Right Foot_pose_tx;XsensPlugin_processed_segments_Right Foot_pose_ty;XsensPlugin_processed_segments_Right Foot_pose_tz;t
0.701838;-0.0189639;-0.0120902;0.711981;-0.76648;0.417556;0.112253;1.9
0.701838;-0.0189639;-0.0120902;0.711981;-0.76648;0.417556;0.112253;1.905
0.701838;-0.0189639;-0.0120902;0.711981;-0.76648;0.417556;0.112253;1.91
0.701838;-0.0189639;-0.0120902;0.711981;-0.76648;0.417556;0.112253;1.915
0.701724;-0.0200457;-0.0122302;0.712062;-0.766623;0.416713;0.112553;1.92
0.701724;-0.0200457;-0.0122302;0.712062;-0.766623;0.416713;0.112553;1.925
0.701531;-0.021647;-0.0123446;0.712203;-0.766816;0.41597;0.112981;1.93
0.701531;-0.021647;-0.0123446;0.712203;-0.766816;0.41597;0.112981;1.935
0.701531;-0.021647;-0.0123446;0.712203;-0.766816;0.41597;0.112981;1.94
0.701531;-0.021647;-0.0123446;0.712203;-0.766816;0.41597;0.112981;1.945
0.701531;-0.021647;-0.0123446;0.712203;-0.766816;0.41597;0.112981;1.95
0.701247;-0.0237821;-0.0125407;0.712412;-0.76703;0.415436;0.113581;1.955
0.701247;-0.0237821;-0.0125407;0.712412;-0.76703;0.415436;0.113581;1.96
0.701247;-0.0237821;-0.0125407;0.712412;-0.76703;0.415436;0.113581;1.965
0.700879;-0.0264367;-0.0127111;0.712677;-0.767294;0.415003;0.11431;1.97
0.700879;-0.0264367;-0.0127111;0.712677;-0.767294;0.415003;0.11431;1.975
0.700879;-0.0264367;-0.0127111;0.712677;-0.767294;0.415003;0.11431;1.98
0.700377;-0.0300872;-0.0125085;0.713029;-0.76774;0.414451;0.115171;1.985
0.700377;-0.0300872;-0.0125085;0.713029;-0.76774;0.414451;0.115171;1.99
0.700377;-0.0300872;-0.0125085;0.713029;-0.76774;0.414451;0.115171;1.995
0.699623;-0.0352558;-0.0113956;0.713551;-0.768499;0.413706;0.116167;2
