XsensPlugin_processed_segments_Left Foot_pose_qw;XsensPlugin_processed_segments_Left Foot_pose_qx;XsensPlugin_processed_segments_Left Foot_pose_qy;XsensPlugin_processed_segments_Left Foot_pose_qz;XsensPlugin_processed_segments_Left Foot_pose_tx;XsensPlugin_processed_segments_Left Foot_pose_ty;XsensPlugin_processed_segments_Left Foot_pose_tz;t
0.926811;0.0126251;-0.0021113;0.375311;4.13528;-4.89718;0.10584;2.68
0.926811;0.0126251;-0.0021113;0.375311;4.13528;-4.89718;0.10584;2.685
0.926811;0.0126251;-0.0021113;0.375311;4.13528;-4.89718;0.10584;2.69
0.926811;0.0126251;-0.0021113;0.375311;4.13528;-4.89718;0.10584;2.695
0.926811;0.0126251;-0.0021113;0.375311;4.13528;-4.89718;0.10584;2.7
0.926811;0.0126251;-0.0021113;0.375311;4.13528;-4.89718;0.10584;2.705
0.926811;0.0126251;-0.0021113;0.375311;4.13528;-4.89718;0.10584;2.71
0.926811;0.0126251;-0.0021113;0.375311;4.13528;-4.89718;0.10584;2.715
0.926811;0.0126251;-0.0021113;0.375311;4.13528;-4.89718;0.10584;2.72
0.926811;0.0126251;-0.0021113;0.375311;4.13528;-4.89718;0.10584;2.725
0.926811;0.0126251;-0.0021113;0.375311;4.13528;-4.89718;0.10584;2.73
0.926811;0.0126251;-0.0021113;0.375311;4.13528;-4.89718;0.10584;2.735
0.926811;0.0126251;-0.0021113;0.375311;4.13528;-4.89718;0.10584;2.74
0.926811;0.0126251;-0.0021113;0.375311;4.13528;-4.89718;0.10584;2.745
0.926811;0.0126251;-0.0021113;0.375311;4.13528;-4.89718;0.10584;2.75
0.926811;0.0126251;-0.0021113;0.375311;4.13528;-4.89718;0.10584;2.755
0.926811;0.0126251;-0.0021113;0.375311;4.13528;-4.89718;0.10584;2.76
0.926811;0.0126251;-0.0021113;0.375311;4.13528;-4.89718;0.10584;2.765
0.926811;0.0126251;-0.0021113;0.375311;4.13528;-4.89718;0.10584;2.77
0.926811;0.0126251;-0.0021113;0.375311;4.13528;-4.89718;0.10584;2.775
0.926811;0.0126251;-0.0021113;0.375311;4.13528;-4.89718;0.10584;2.78
0.926811;0.0126251;-0.0021113;0.375311;4.13528;-4.89718;0.10584;2.785
0.926811;0.0126251;-0.0021113;0.375311;4.13528;-4.89718;0.10584;2.79
0.926811;0.0126251;-0.0021113;0.375311;4.13528;-4.89718;0.10584;2.795
0.926811;0.0126251;-0.0021113;0.375311;4.13528;-4.89718;0.10584;2.8
0.926811;0.0126251;-0.0021113;0.375311;4.13528;-4.89718;0.10584;2.805
0.926811;0.0126251;-0.0021113;0.375311;4.13528;-4.89718;0.10584;2.81
