XsensPlugin_processed_segments_Right Foot_pose_qw;XsensPlugin_processed_segments_Right Foot_pose_qx;XsensPlugin_processed_segments_Right Foot_pose_qy;XsensPlugin_processed_segments_Right Foot_pose_qz;XsensPlugin_processed_segments_Right Foot_pose_tx;XsensPlugin_processed_segments_Right Foot_pose_ty;XsensPlugin_processed_segments_Right Foot_pose_tz;t
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.68
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.685
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.69
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.695
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.7
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.705
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.71
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.715
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.72
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.725
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.73
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.735
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.74
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.745
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.75
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.755
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.76
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.765
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.77
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.775
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.78
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.785
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.79
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.795
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.8
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.805
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.81
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.815
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.82
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.825
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.83
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.835
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.84
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.845
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.85
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.855
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.86
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.865
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.87
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.875
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.88
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.885
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.89
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.895
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.9
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.905
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.91
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.915
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.92
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.925
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.93
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.935
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.94
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.945
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.95
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.955
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.96
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.965
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.97
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.975
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.98
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.985
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.99
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;2.995
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;3
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;3.005
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;3.01
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;3.015
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;3.02
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;3.025
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;3.03
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;3.035
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;3.04
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;3.045
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;3.05
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;3.055
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;3.06
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;3.065
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;3.07
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;3.075
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;3.08
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;3.085
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;3.09
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;3.095
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;3.1
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;3.105
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;3.11
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;3.115
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;3.12
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;3.125
0.950493;-0.00738022;0.00571368;0.310604;4.09532;-5.02001;0.102857;3.13
0.915929;0.0133049;-4.82059e-05;0.40112;-1.33018;1.05266;0.104035;3.135
0.915929;0.0133049;-4.82059e-05;0.40112;-1.33018;1.05266;0.104035;3.14
0.915929;0.0133049;-4.82059e-05;0.40112;-1.33018;1.05266;0.104035;3.145
0.915929;0.0133049;-4.82059e-05;0.40112;-1.33018;1.05266;0.104035;3.15
0.915967;0.0138264;0.000378377;0.401016;-1.33042;1.05261;0.104154;3.155
0.915967;0.0138264;0.000378377;0.401016;-1.33042;1.05261;0.104154;3.16
0.915967;0.0138264;0.000378377;0.401016;-1.33042;1.05261;0.104154;3.165
0.91598;0.0136323;0.00081391;0.400992;-1.33066;1.05249;0.104255;3.17
0.91598;0.0136323;0.00081391;0.400992;-1.33066;1.05249;0.104255;3.175
0.91598;0.0136323;0.00081391;0.400992;-1.33066;1.05249;0.104255;3.18
0.915944;0.012067;0.00144309;0.401123;-1.33093;1.05224;0.104288;3.185
0.915944;0.012067;0.00144309;0.401123;-1.33093;1.05224;0.104288;3.19
0.915944;0.012067;0.00144309;0.401123;-1.33093;1.05224;0.104288;3.195
0.915944;0.012067;0.00144309;0.401123;-1.33093;1.05224;0.104288;3.2
